variable,correlation,abs_correlation,pvalue,source,camels,description
DEPDASTR,0.0121,0.0121,0.0,RAT,L,TOT DOMESTIC DEPOSIT / ASSET
RBCT1Y1,-0.0121,0.0121,0.0,RAT,C,TIER 1 RBC-PCA-Y1
EQCDIVA,-0.0118,0.0118,3.1e-05,CDI,L,CASH DIVIDENDS ON COMM & PFD-ANN
NONIIQ,-0.0118,0.0118,5e-06,CDI,E,TOTAL NONINTEREST INCOME-QTR
SCTOTALL,0.0117,0.0117,2.9e-05,FTS,S,TOTAL H-T-M SECURITIES - ALLOW
EQCDIVQ,-0.0113,0.0113,3e-06,CDI,C,CASH DIVIDENDS ON CAPITAL STK-Q
ROE,-0.0113,0.0113,0.0,RAT,C,RETURN ON EQUITY - BANK
EQUPGR,-0.0112,0.0112,0.313872,FTS,E,"UNDIVIDED PROFITS, GROSS"
IOTNIIQ,-0.0111,0.0111,3e-06,CDI,E,OTHER NONINTEREST INCOME-QTR
DEPSMRN,-0.0111,0.0111,4e-06,FTS,L,SMALL DEPOSIT RETIREMENT ACC-NUM
SCAFRCR,0.0111,0.0111,0.001367,FTS,S,SECURITIES AF BS - RC-R COL A
DRRECNOT,0.011,0.011,1e-06,FTS,A,OTHER CONSTRUCT LN CHARGE-OFFS
ITAX,-0.0109,0.0109,1.4e-05,FTS,E,APPLICABLE INCOME TAXES
EQCDIV,-0.0109,0.0109,4.1e-05,FTS,L,CASH DIVIDENDS ON COMM & PREF
NTLNLS,0.0107,0.0107,3e-06,FTS,A,TOTAL LN&LS NET CHARGE-OFFS
DRLNLS,0.0107,0.0107,4e-06,FTS,A,TOTAL LN&LS CHARGE-OFFS
OLINTOTH,-0.0106,0.0106,8.3e-05,FTS,M,OTHER EXPENSES ACCRUED & UNPAID
ITAXA,-0.0105,0.0105,7.1e-05,CDI,E,APPLICABLE INCOME TAXES-ANN
DEPSMB,0.0105,0.0105,0.29273,FTS,L,SMALL DEPOSIT ACCOUNTS-NUMBER
IOTNII,-0.0105,0.0105,4e-05,FTS,E,OTHER NONINTEREST INCOME
ESALA,0.0105,0.0105,0.091632,CDI,M,SALARIES AND EMPLOYEE BEN-ANN
ILNRERES,-0.0104,0.0104,0.001311,FTS,E,1-4 FM RE LOAN INCOME
ISCMUNIX,-0.0103,0.0103,1e-05,FTS,E,TAX-EXEMPT MUNICIPAL SEC INCOME
NTCI,0.0102,0.0102,7e-06,FTS,A,COMMERCIAL LOAN NET CHARGE-OFFS
EOTHNINA,0.0102,0.0102,0.020686,CDI,M,ALL OTHER NONINTEREST EXP-ANN
RB2LNRES,0.01,0.01,0.002058,FTS,C,ALLOWANCE FOR CREDIT L&L IN TIER 2
SCAA,0.01,0.01,0.14349,FTS,S,SECURITIES-AA
CHBALNI,0.01,0.01,0.116942,FTS,L,NONINTEREST-BEARING CASH & DUE
ITAXQ,-0.01,0.01,2.7e-05,CDI,E,APPLICABLE INCOME TAXES-QTR
