"RIS Name","Description","Database","Report","FRB Number","Call Names"
"IGLCREXQ","TRADING REV CREDIT EXPOSURE- QTR","CDI","RI-INC","",""
"IGLEDEXQ","TRADING ACCT-INTEREST RATE-QTR","CDI","RI-INC","",""
"IGLFORTA","OTHER FOREIGN TRANS GAINS-ANN","CDI","RI-INC","",""
"IGLFORTQ","OTHER FOREIGN TRANS GAINS-QTR","CDI","RI-INC","",""
"IGLFXEXQ","TRADING ACCT-FOR.EXCHAGE-QTR","CDI","RI-INC","",""
"IGLFXTRA","FOREIGN EXCHANGE GAIN & FEES-ANN","CDI","RI-INC","",""
"IGLFXTRQ","FOREIGN EXCHANGE GAIN & FEES-QTR","CDI","RI-INC","",""
"IGLITDAQ","IMPACT TR REV CHG - DER AST-QTR","CDI","RI-INC","",""
"IGLITDLQ","IMPACT TR REV CHG -DER LIAB-QTR","CDI","RI-INC","",""
"IGLRTEXQ","TRADING ACCT-INTEREST RATE-QTR","CDI","RI-INC","",""
"IGLSCAQ","AVAILABLE-FOR-SALE SEC G/L-QTR","CDI","RI-INC","",""
"IGLSCEQQ","UNREAL G/L EQ SEC - QTR","CDI","RI-INC","",""
"IGLSCHQ","HELD-TO-MATURITY SEC G/L-QTR","CDI","RI-INC","",""
"IGLSECA","SECURITIES GAINS AND LOSSES-ANN","CDI","RI-INC","",""
"IGLSECJ","SECURITIES GAINS AND LOSSES-ADJ","CDI","RI-INC","",""
"IGLSECJA","SECURITIES GAINS & LOSS-ADJ-ANN","CDI","RI-INC","",""
"IGLSECJQ","SECURITIES GAINS & LOSS-ADJ-QTR","CDI","RI-INC","",""
"IGLSECQ","SECURITIES GAINS AND LOSSES-QTR","CDI","RI-INC","",""
"IGLSECQA","SECURITIES GAINS & LOSS-QTR-ANN","CDI","RI-INC","",""
"IGLTRADA","TRADING ACCOUNT GAINS & FEES-ANN","CDI","RI-INC","",""
"IGLTRADQ","TRADING ACCOUNT GAINS & FEES-QTR","CDI","RI-INC","",""
"IGLTRDQ","TRADING REVENUE-QTR","CDI","RI-INC","",""
"IGTAGVAQ","IMPACT TR RV CG DR AST-CVA QTR","CDI","RI-INC","",""
"IGTAGVHQ","IMPCT T RV CG DR AST-CVA HG QTR","CDI","RI-INC","",""
"IGTBPNNQ","IMPT T RV CG DER GRS-TR BEF-QTR","CDI","RI-INC","",""
"IGTLGDVQ","IMPT TR RV CG DR LIAB-G-DVA QTR","CDI","RI-INC","",""
"IGTLGVHQ","IMPCT T RV CG DR LIAB-CVA HG QTR","CDI","RI-INC","",""
"IINSCOMA","INSURANCE COMMISSIONS & FEES-ANN","CDI","RI-INC","",""
"IINSCOMQ","INSURANCE COMMISSIONS & FEE-QTR","CDI","RI-INC","",""
"IINSOTHA","INSURANCE COM & FEES-OTHER-ANN","CDI","RI-INC","",""
"IINSOTHQ","INSURANCE COMM & FEE - OTHER-QTR","CDI","RI-INC","",""
"IINSOTQA","INSURNCE COM & FEE-OTHER-QTR-ANN","CDI","RI-INC","",""
"IINSUNDA","INSURANCE UDERWRITING INC-ANN","CDI","RI-INC","",""
"IINSUNDQ","INSURANCE UNDERWRITING INC-QTR","CDI","RI-INC","",""
"IINSUNQA","INSURANCE UDERWRITNG INC-QTR-ANN","CDI","RI-INC","",""
"IINVBNKA","INVEST BANK & ADVISORY FEE - ANN","CDI","RI-INC","",""
"IINVBNKQ","INVEST BANK & ADVISORY FEE - QTR","CDI","RI-INC","",""
"IINVFEEA","INVEST BANK, BROKER & OTH-ANN","CDI","RI-INC","",""
"IINVFEEQ","INVEST BANK, BROKER & OTH-QTR","CDI","RI-INC","",""
"ILNA","LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNACEPA","ACCEPTANCES OF OTH BKS INC-ANN","CDI","RI-INC","",""
"ILNACEPQ","ACCEPTANCES OF OTH BKS INC-QTR","CDI","RI-INC","",""
"ILNAGA","AGRICULTURAL LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNAGQ","AGRICULTURAL LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNCIA","COMMERCIAL LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNCIQ","COMMERCIAL LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNCONA","CONSUMER LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNCONOA","OTHER CONSUMER LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNCONOQ","OTHER CONSUMER LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNCONQ","CONSUMER LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNCRCDA","CREDIT CARD LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNCRCDQ","CREDIT CARD LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNDEPIA","DEPOSITORY INST LN INCOME-ANN","CDI","RI-INC","",""
"ILNDEPIQ","DEPOSITORY INST LN INCOME-QTR","CDI","RI-INC","",""
"ILNDOMA","LOAN INCOME-DOM-ANN","CDI","RI-INC","",""
"ILNDOMQ","LOAN INCOME-DOM-QTR","CDI","RI-INC","",""
"ILNFORA","LOAN INCOME-FOR-ANN","CDI","RI-INC","",""
"ILNFORGA","FOREIGN GOVERNMENT LOAN INC-ANN","CDI","RI-INC","",""
"ILNFORGQ","FOREIGN GOVERNMENT LOAN INC-QTR","CDI","RI-INC","",""
"ILNFORQ","LOAN INCOME-FOR-QTR","CDI","RI-INC","",""
"ILNLSA","LOAN & LEASE INCOME-ANN","CDI","RI-INC","",""
"ILNLSDA","LOAN & LEASE INCOME-DOM-ANN","CDI","RI-INC","",""
"ILNLSDQ","LOAN & LEASE INCOME-DOM-QTR","CDI","RI-INC","",""
"ILNLSQ","LOAN & LEASE INCOME-QTR","CDI","RI-INC","",""
"ILNLSXA","TAX-EXEMPT LN & LS INT INC-ANN","CDI","RI-INC","",""
"ILNLSXQ","TAX-EXEMPT LN & LS INT INC-QTR","CDI","RI-INC","",""
"ILNMUNIA","MUNICIPAL LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNMUNIQ","MUNICIPAL LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNOTHA","ALL OTHER LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNOTHEA","ALL OTHER LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNOTHEQ","ALL OTHER LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNOTHQ","ALL OTHER LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNQ","LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNREA","REAL ESTATE LOAN INCOME-ANN","CDI","RI-INC","",""
"ILNREFNQ","NONCASH INC 1-4 FAM NEG AM - QTR","CDI","RI-INC","",""
"ILNREOTA","OTHER RE LOAN INCOME - ANN","CDI","RI-INC","",""
"ILNREOTQ","OTHER RE LOAN INCOME - QTR","CDI","RI-INC","",""
"ILNREQ","REAL ESTATE LOAN INCOME-QTR","CDI","RI-INC","",""
"ILNRERSA","1-4 FM RE LOAN INCOME - ANN","CDI","RI-INC","",""
"ILNRERSQ","1-4 FM RE LOAN INCOME - QTR","CDI","RI-INC","",""
"ILSA","LEASE INCOME-ANN","CDI","RI-INC","",""
"ILSQ","LEASE INCOME-QTR","CDI","RI-INC","",""
"INSBRDDW","DEMAND DEP IN INSURED BRANCHES","CDI","RC-O","",""
"INSBRIAW","INT ACC ON DEP INS BRANCHES","CDI","RC-O","",""
"INSBRTSW","TIM&SAV DEP IN INSURED BRANCHES","CDI","RC-O","",""
"INTAN2","INTANGIBLE ASSETS-CAVG2","CDI","RC-BAL","",""
"INTAN5","INTANGIBLE ASSETS-CAVG5","CDI","RC-BAL","",""
"INTANILG","DISALLOWED INTANGIBLE ASSETS-PCA","CDI","RC-R","",""
"INTANILP","DISALLOWED INTANGIBLE ASSETS-RBP","CDI","RC-R","",""
"INTANIMG","DISALLOW INTAN AST-TANGIBLE CAP","CDI","RC-R","",""
"INTANMPC","QUALIFYING MORT SER RIGHTS-TAN","CDI","RC-R","",""
"INTANMS2","MORTGAGE SERVICING RIGHTS-CAVG2","CDI","RC-BAL","",""
"INTANMS5","MORTGAGE SERVICING RIGHTS-CAVG5","CDI","RC-BAL","",""
"INTANMSL","FAIR VALUE MORT SERV ASTS*LIMIT","CDI","RC-R","",""
"INTANQ","QUALIFYING INTANGIBLE ASSETS-PCA","CDI","RC-R","",""
"INTANQP","QUALIFYING INTANGIBLE ASSETS-RBP","CDI","RC-R","",""
"INTINCA","TOTAL INTEREST INCOME-ANN","CDI","RI-INC","",""
"INTINQ","TOTAL INTEREST INCOME-QTR","CDI","RI-INC","",""
"INTINQA","TOTAL INTEREST INCOME-QTR-ANN","CDI","RI-INC","",""
"INVSUB2","INVEST IN UNCONSOLID SUBS-CAVG2","CDI","RC-BAL","",""
"INVSUB5","INVEST IN UNCONSOLID SUBS-CAVG5","CDI","RC-BAL","",""
"IOTHFEEA","OTHER FEE INCOME-ANN","CDI","RI-INC","",""
"IOTHFEEQ","OTHER FEE INCOME-QTR","CDI","RI-INC","",""
"IOTHIIA","OTHER INTEREST INCOME-ANN","CDI","RI-INC","",""
"IOTHIIQ","OTHER INTEREST INCOME-QTR","CDI","RI-INC","",""
"IOTHNIIA","ALL OTHER NONINTEREST INCOME-ANN","CDI","RI-INC","",""
"IOTHNIIQ","ALL OTHER NONINTEREST INCOME-QTR","CDI","RI-INC","",""
"IOTNIIA","OTHER NONINTEREST INCOME-ANN","CDI","RI-INC","",""
"IOTNIIQ","OTHER NONINTEREST INCOME-QTR","CDI","RI-INC","",""
"ISCA","TOTAL SECURITY INCOME-ANN","CDI","RI-INC","",""
"ISCCATMA","CONSMR DEP ATM SER CHGE-ANN","CDI","RI-INC","",""
"ISCCATMQ","CONSMR DEP ATM SER CHGE-QTR","CDI","RI-INC","",""
"ISCDBFA","FOREIGN DEBT SECURITIES INC-ANN","CDI","RI-INC","",""
"ISCDBFQ","FOREIGN DEBT SECURITIES INC-QTR","CDI","RI-INC","",""
"ISCDBOTA","OTHER DOMESTIC DEBT SEC INC-ANN","CDI","RI-INC","",""
"ISCDBOTQ","OTHER DOMESTIC DEBT SEC INC-QTR","CDI","RI-INC","",""
"ISCDBQA","DEBT AND EQUITY SEC INC-ANN","CDI","RI-INC","",""
"ISCDBQDA","DOMESTIC DEBT & EQ SEC INC-ANN","CDI","RI-INC","",""
"ISCDBQDQ","DOMESTIC DEBT & EQ SEC INC-QTR","CDI","RI-INC","",""
"ISCDBQFA","FOREIGN DEBT & EQ SEC INC-ANN","CDI","RI-INC","",""
"ISCDBQFQ","FOREIGN DEBT & EQ SEC INC-QTR","CDI","RI-INC","",""
"ISCDBQQ","DEBT AND EQUITY SEC INC-QTR","CDI","RI-INC","",""
"ISCDBTA","DEBT SECURITY INCOME-ANN","CDI","RI-INC","",""
"ISCDBTQ","DEBT SECURITY INCOME-QTR","CDI","RI-INC","",""
"ISCEQA","EQUITY SECURITIES INCOME-ANN","CDI","RI-INC","",""
"ISCEQQ","EQUITY SECURITIES INCOME-QTR","CDI","RI-INC","",""
"ISCGCMNA","CONSMER DEP MAIN SER CHGE-ANN","CDI","RI-INC","",""
"ISCGCMNQ","CONSMER DEP MAIN SER CHGE-QTR","CDI","RI-INC","",""
"ISCGCOVA","CONSMER DEP OVDRFT SER CHGE-ANN","CDI","RI-INC","",""
"ISCGCOVQ","CONSMER DEP OVDRFT SER CHGE-QTR","CDI","RI-INC","",""
"ISCGOTHA","ALL OTH SER CHRG-DEP-ANN","CDI","RI-INC","",""
"ISCGOTHQ","ALL OTH SER CHRG-DEP-QTR","CDI","RI-INC","",""
"ISCMTGBA","MORGAGE-BACKED SEC INT INC-ANN","CDI","RI-INC","",""
"ISCMTGBQ","MORTGAGE-BACKED SEC INT INC-QTR","CDI","RI-INC","",""
"ISCMUNIA","MUNICIPAL SECURITIES INCOME-ANN","CDI","RI-INC","",""
"ISCMUNIQ","MUNICIPAL SECURITIES INCOME-QTR","CDI","RI-INC","",""
"ISCMUNXA","TAX-EMEMPT MUNICIPAL SEC INC-ANN","CDI","RI-INC","",""
"ISCMUNXQ","TAX-EMEMPT MUNICIPAL SEC INC-QTR","CDI","RI-INC","",""
"ISCOTHA","ALL OTHER SECURITIES INT INC-ANN","CDI","RI-INC","",""
"ISCOTHQ","ALL OTHER SECURITIES INT INC-QTR","CDI","RI-INC","",""
"ISCOTICA","OTH TMP IMP LOSS SC-CMP INC-ANN","CDI","RI-INC","",""
"ISCOTICQ","OTH TMP IMP LOSS SC-CMP INC-QTR","CDI","RI-INC","",""
"ISCOTIEA","OTH TEMP IMP LOSS SEC- EARN-ANN","CDI","RI-INC","",""
"ISCOTIEQ","OTH TEMP IMP LOSS SEC- EARN-QTR","CDI","RI-INC","",""
"ISCOTITA","OTH TEMP IMPAIR LOSS SC-TOT-ANN","CDI","RI-INC","",""
"ISCOTITQ","OTH TEMP IMPAIR LOSS SC-TOT-QTR","CDI","RI-INC","",""
"ISCQ","TOTAL SECURITY INCOME-QTR","CDI","RI-INC","",""
"ISCUSAGA","U.S.TREASURY & AGENCY INT IN-ANN","CDI","RI-INC","",""
"ISCUSAGQ","U.S.TREASURY & AGENCY INT IN-QTR","CDI","RI-INC","",""
"ISCUSTAA","U.S.TREAS & AGENCY INT INC-ANN","CDI","RI-INC","",""
"ISCUSTAQ","U.S.TREAS & AGENCY INT INC-QTR","CDI","RI-INC","",""
"ISECBROA","FEE & COMMISSION SEC BROKER ANN","CDI","RI-INC","",""
"ISECBROQ","FEE & COMMISION SEC BROKER - QTR","CDI","RI-INC","",""
"ISECZA","SECURITIZATION INCOME-ANN","CDI","RI-INC","",""
"ISECZQ","SECURITIZATION INCOME-QTR","CDI","RI-INC","",""
"ISERCHGA","SERVICE CHARGE ON DEP ACCTS-ANN","CDI","RI-INC","",""
"ISERCHGQ","SERVICE CHARGE ON DEP ACCTS-QTR","CDI","RI-INC","",""
"ISERFEEA","SERVICING FEES-ANN","CDI","RI-INC","",""
"ISERFEEQ","SERVICING FEE-QTR","CDI","RI-INC","",""
"ITAXA","APPLICABLE INCOME TAXES-ANN","CDI","RI-INC","",""
"ITAXQ","APPLICABLE INCOME TAXES-QTR","CDI","RI-INC","",""
"ITAXQA","APPLICABLE INCOME TAXES-QTR-ANN","CDI","RI-INC","",""
"ITRADEA","INTEREST INC ON TRADING ACCT-ANN","CDI","RI-INC","",""
"ITRADEQ","INTEREST INC ON TRADING ACCT-QTR","CDI","RI-INC","",""
"IVENCAPA","VENTURE CAPITAL REVENUE-ANN","CDI","RI-INC","",""
"IVENCAPQ","VENTURE CAPITAL REVENUE-QTR","CDI","RI-INC","",""
"LCLC","UNUSED COMMIT & CREDIT LETTERS","CDI","RC-C","",""
"LCON","CONSUMER LOANS - LOSS SHARE","CDI","RC-BAL","",""
"LIAB2","TOTAL LIABILITIES-CAVG2","CDI","RC-BAL","",""
"LIAB5","TOTAL LIABILITIES-CAVG5","CDI","RC-BAL","",""
"LIABEQ2","TOTAL LIABILITIES & CAP-CAVG2","CDI","RC-BAL","",""
"LIABEQ5","TOTAL LIABILITIES & CAP-CAVG5","CDI","RC-BAL","",""
"LIABINT","INTEREST-BEARING LIABILITIES","CDI","RC-BAL","",""
"LIABINT2","INTEREST-BEARING LIAB-CAVG2","CDI","RC-BAL","",""
"LIABINT5","INTEREST-BEARING LIAB-CAVG5","CDI","RC-BAL","",""
"LLPFDST2","LIMITED-LIFE PREFERRED STK-CAVG2","CDI","RC-BAL","",""
"LLPFDST5","LIMITED-LIFE PREFERRED STK-CAVG5","CDI","RC-BAL","",""
"LNACOTD2","ACCEPTANCES OF OTH BKS-DOM-CAVG2","CDI","RC-C","",""
"LNACOTD5","ACCEPTANCES OF OTH BKS-DOM-CAVG5","CDI","RC-C","",""
"LNAG1","AGRICULTURAL LOANS-UNDER 100-$","CDI","RC-C","",""
"LNAG1N","AGRICULTURAL LOANS-UNDER 100-NUM","CDI","RC-C","",""
"LNAG2","AGRICULTURAL LOANS-100-250-$","CDI","RC-C","",""
"LNAG22","AG LOANS-CAVG2","CDI","RC-C","",""
"LNAG2N","AGRICULTURAL LOANS-100-250-NUM","CDI","RC-C","",""
"LNAG3","AGRICULTURAL LOANS-250-500-$","CDI","RC-C","",""
"LNAG3N","AGRICULTURAL LOANS-250-500-NUM","CDI","RC-C","",""
"LNAG4","AGRICULTURAL LOANS-UNDER 500-$","CDI","RC-C","",""
"LNAG4N","AGRICULTURAL LOANS-UNDER 500-NUM","CDI","RC-C","",""
"LNAG5","AG LOANS-CAVG5","CDI","RC-C","",""
"LNAGDOM2","AG LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNAGDOM5","AG LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNAGTEST","AGRICULTURAL LOAN TEST","CDI","RC-C","",""
"LNAGTOT","TOTAL AG LOANS","CDI","RC-C","",""
"LNATRES2","ALLOW FOR CREDIT LOSSES ON LNS & LS & CAVG2","CDI","RC-BAL","",""
"LNATRES5","ALLOW FOR CREDIT LOSSES ON LNS & LS & CAVG5","CDI","RC-BAL","",""
"LNATRESJ","ALLOW FOR CREDIT LOSSES ON LN & LS-ADJUSTED","CDI","RC-C","",""
"LNAUTO2","CONSUMER LOANS - AUTO - CAVG2","CDI","RC-C","",""
"LNAUTO5","CONSUMER LOANS - AUTO - CAVG5","CDI","RC-C","",""
"LNAUTOD2","CONSUMER LN - AUTO- DOM - CAVG2","CDI","RC-C","",""
"LNAUTOD5","CONSUMER LN - AUTO- DOM- CAVG5","CDI","RC-C","",""
"LNCI1","C&I LOANS-UNDER-100-$","CDI","RC-C","",""
"LNCI1N","C&I LOANS-UNDER-100-NUM","CDI","RC-C","",""
"LNCI2","C&I LOANS-100-250-$","CDI","RC-C","",""
"LNCI22","C&I LOANS-CAVG2","CDI","RC-C","",""
"LNCI2N","C&I LOANS-100-250-NUM","CDI","RC-C","",""
"LNCI3","C&I LOANS-250-1M-$","CDI","RC-C","",""
"LNCI3N","C&I LOANS-250-1M-NUM","CDI","RC-C","",""
"LNCI4","C&I LOANS-UNDER-1M-$","CDI","RC-C","",""
"LNCI4N","C&I LOANS-UNDER-1M-NUM","CDI","RC-C","",""
"LNCI5","C&I LOANS-CAVG5","CDI","RC-C","",""
"LNCIBD","COMMERCIAL OR BUSINESS LOANS-DOM","CDI","RC-C","",""
"LNCIDOM2","C&I LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNCIDOM5","C&I LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNCOMRE2","COMMERCIAL RE LOANS-CAVG2","CDI","RC-C","",""
"LNCOMRE5","COMMERCIAL RE LOANS-CAVG5","CDI","RC-C","",""
"LNCON2","CONSUMER LOANS-CAVG2","CDI","RC-C","",""
"LNCON5","CONSUMER LOANS-CAVG5","CDI","RC-C","",""
"LNCONCEN","CREDIT RISK CONCENTRATED - LOANS","CDI","RC-C","",""
"LNCONDFV","CONSUMER LN-DOM - FAIR VALUE","CDI","RC-C","",""
"LNCONDO2","CONSUMER LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNCONDO5","CONSUMER LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNCONDUP","CONSUMER LN-DOM - UNPD PRIN","CDI","RC-C","",""
"LNCONFV","CONSUMER LOANS - FAIR VALUE","CDI","RC-Q","",""
"LNCONOT2","OTHER CONSUMER LOANS-CAVG2","CDI","RC-C","",""
"LNCONOT5","OTHER CONSUMER LOANS-CAVG5","CDI","RC-C","",""
"LNCONTRA","OTHER CONTRA ACCOUNTS","CDI","RC-C","",""
"LNCONUP","CONSUMER LOANS - UNPAID PRIN","CDI","RC-C","",""
"LNCRCD2","CREDIT CARD PLANS-CAVG2","CDI","RC-C","",""
"LNCRCD5","CREDIT CARD PLANS-CAVG5","CDI","RC-C","",""
"LNDEP2","DEPOSITORY INST LNS-CAVG2","CDI","RC-C","",""
"LNDEP5","DEPOSITORY INST LNS-CAVG5","CDI","RC-C","",""
"LNDEPUST","U.S. BANK & OTH DEP INST LNS","CDI","RC-C","",""
"LNDIVER","CREDIT RISK DIVERSIFIED - LOANS","CDI","RC-C","",""
"LNFGDOM2","FOREIGN GOVT LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNFGDOM5","FOREIGN GOVT LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNHRSK","HIGH RISK LOANS","CDI","RC-C","",""
"LNLS2","LN&LS + UNEARNED INC-CAVG2","CDI","RC-C","",""
"LNLS5","LN&LS + UNEARNED INC-CAVG5","CDI","RC-C","",""
"LNLSDOM2","LN&LS + UNEARNED INC-DOM-CAVG2","CDI","RC-C","",""
"LNLSDOM5","LN&LS + UNEARNED INC-DOM-CAVG5","CDI","RC-C","",""
"LNLSEC1","NET LN&LS AND SEC GT 1 YEAR","CDI","RC-BAL","",""
"LNLSFOR2","LN&LS + UNEARNED INC-FOR-CAVG2","CDI","RC-C","",""
"LNLSFOR5","LN&LS + UNEARNED INC-FOR-CAVG5","CDI","RC-C","",""
"LNLSFORW","LN&LS + UNEARNED INC-FOR","CDI","RC-C","",""
"LNLSGR2","LOANS AND LEASES-TOTAL-CAVG2","CDI","RC-BAL","",""
"LNLSGR5","LOANS AND LEASES-TOTAL-CAVG5","CDI","RC-BAL","",""
"LNLSGRD2","LOANS AND LEASES-TOTAL-DOM-CAVG2","CDI","RC-C","",""
"LNLSGRD5","LOANS AND LEASES-TOTAL-DOM-CAVG5","CDI","RC-C","",""
"LNLSGRF2","LOANS AND LEASES-TOTAL-FOR-CAVG2","CDI","RC-C","",""
"LNLSGRF5","LOANS AND LEASES-TOTAL-FOR-CAVG5","CDI","RC-C","",""
"LNLSGRFW","LOANS AND LEASES-TOTAL-FOR","CDI","RC-C","",""
"LNLSGRJ","LOANS & LEASES TOTAL-ADJUSTED","CDI","RC-C","",""
"LNLSNET2","LOANS AND LEASES-NET-CAVG2","CDI","RC-BAL","",""
"LNLSNET5","LOANS AND LEASES-NET-CAVG5","CDI","RC-BAL","",""
"LNMUNID2","MUNI LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNMUNID5","MUNI LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNORE","ALL R/E LOANS PLUS OREO","CDI","RC-C","",""
"LNOTCI","OTHER LNS & LS-COMM-QBP","CDI","RC-C","",""
"LNOTCI2","OTHER LOANS & LEASES-QBP-CAVG2","CDI","RC-C","",""
"LNOTCI5","OTHER LOANS & LEASES-QBP-CAVG5","CDI","RC-C","",""
"LNOTD","ALL OTHER LOANS-DOM","CDI","RC-C","",""
"LNOTD2","ALL OTHER LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNOTD5","ALL OTHER LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNOTMI","OTHER LOANS & LEASES-MI VERSION","CDI","RC-C","",""
"LNOTSI","OTHER LOANS & LEASES-SI-QBP","CDI","RC-C","",""
"LNRE2","RE LOANS-CAVG2","CDI","RC-C","",""
"LNRE5","RE LOANS-CAVG5","CDI","RC-C","",""
"LNREAG1","RE AGRICULTURAL-UNDER 100-$","CDI","RC-C","",""
"LNREAG1N","RE AGRICULTURAL-UNDER 100-NUM","CDI","RC-C","",""
"LNREAG2","RE AGRICULTURAL-100-250-$","CDI","RC-C","",""
"LNREAG22","RE AGRICULTURAL-CAVG2","CDI","RC-C","",""
"LNREAG2N","RE AGRICULTURAL-100-250-NUM","CDI","RC-C","",""
"LNREAG3","RE AGRICULTURAL-250-500-$","CDI","RC-C","",""
"LNREAG3N","RE AGRICULTURAL-250-500-NUM","CDI","RC-C","",""
"LNREAG4","RE AGRICULTURAL-UNDER 500-$","CDI","RC-C","",""
"LNREAG4N","RE AGRICULTURAL-UNDER 500-NUM","CDI","RC-C","",""
"LNREAG5","RE AGRICULTURAL-CAVG5","CDI","RC-C","",""
"LNRECFM","1-4 FM RE CONS LN BK ONLY - RAT","CDI","RC-C","",""
"LNRECM","RE COMMERCIAL & MULTIFAMILY LNS","CDI","RC-C","",""
"LNRECNF2","1-4 FAM CONSTRUCT RE LNS-CAVG2","CDI","RC-C","",""
"LNRECNF5","1-4 FAM CONSTRUCT RE LNS-CAVG5","CDI","RC-C","",""
"LNRECNO2","OTH CONS & LAND DEV LNS-CAVG2","CDI","RC-C","",""
"LNRECNO5","OTH CONS & LAND DEV LNS-CAVG5","CDI","RC-C","",""
"LNRECON2","RE CONSTRUCTION & LAND DEV-CAV2","CDI","RC-C","",""
"LNRECON5","RE CONSTRUCTION & LAND DEV-CAV5","CDI","RC-C","",""
"LNRECOT","OTH RE CONST LN BK ONLY - RAT","CDI","RC-C","",""
"LNREDEV","RE DEVELOPMENT LOANS","CDI","RC-C","",""
"LNREDFV","RE LOANS - DOM - FAIR VALUE","CDI","RC-C","",""
"LNREDOM2","RE LOANS-DOM-CAVG2","CDI","RC-C","",""
"LNREDOM5","RE LOANS-DOM-CAVG5","CDI","RC-C","",""
"LNREDUP","RE LOANS -DOM- UNPAID PRINCIPLE","CDI","RC-C","",""
"LNREFOR2","RE LOANS-FOR-CAVG2","CDI","RC-C","",""
"LNREFOR5","RE LOANS-FOR-CAVG5","CDI","RC-C","",""
"LNREFORW","RE LOANS-FOR","CDI","RC-C","",""
"LNREJ","RE LOANS-ADJUSTED","CDI","RC-C","",""
"LNRELOC2","RE 1-4 FAMILY-LINES-CAVG2","CDI","RC-C","",""
"LNRELOC5","RE 1-4 FAMILY-LINES-CAVG5","CDI","RC-C","",""
"LNREMUL2","RE MULTIFAMILY-CAVG2","CDI","RC-C","",""
"LNREMUL5","RE MULTIFAMILY-CAVG5","CDI","RC-C","",""
"LNRENOT","OTH NFRM NRS RE BK ONLY-RAT","CDI","RC-C","",""
"LNRENOW","OWN-OCC NF NRS RE BK ONLY-RAT","CDI","RC-C","",""
"LNRENR1","RE NONFARM NONRES-UNDER 100-$","CDI","RC-C","",""
"LNRENR1N","RE NONFARM NONRES-UNDER 100-NUM","CDI","RC-C","",""
"LNRENR2","RE NONFARM NONRES-100-250-$","CDI","RC-C","",""
"LNRENR2N","RE NONFARM NONRES-100-250-NUM","CDI","RC-C","",""
"LNRENR3","RE NONFARM NONRES-250-1M-$","CDI","RC-C","",""
"LNRENR3N","RE NONFARM NONRES-250-1M-NUM","CDI","RC-C","",""
"LNRENR4","RE NONFARM NONRES-UNDER 1M-$","CDI","RC-C","",""
"LNRENR4N","RE NONFARM NONRES-UNDER 1M-NUM","CDI","RC-C","",""
"LNRENRE2","RE NONFARM NONRESIDENTIAL CAVG2","CDI","RC-C","",""
"LNRENRE5","RE NONFARM NONRESIDENTIAL CAVG5","CDI","RC-C","",""
"LNRENRT2","OTHER NONFARM NONRES LN-CAVG2","CDI","RC-C","",""
"LNRENRT5","OTHER NONFARM NONRES LN-CAVG5","CDI","RC-C","",""
"LNRENRW2","OWNER-OCC NONFRM NONRS LN-CAVG2","CDI","RC-C","",""
"LNRENRW5","OWNER-OCC NONFRM NONRS LN-CAVG5","CDI","RC-C","",""
"LNREO","RE LNS AG PLUS RE LNS FOREIGN","CDI","RC-C","",""
"LNREOT","OTHER REAL ESTATE LOANS","CDI","RC-C","",""
"LNREOT2","RE OTHER-CAVG2","CDI","RC-C","",""
"LNREOT5","RE OTHER-CAVG5","CDI","RC-C","",""
"LNREOTH2","RE 1-4 FAMILY-OTHER LOANS-CAVG2","CDI","RC-C","",""
"LNREOTH5","RE 1-4 FAMILY-OTHER LOANS-CAVG5","CDI","RC-C","",""
"LNRERES2","RE 1-4 FAMILY-CAVG2","CDI","RC-C","",""
"LNRERES5","RE 1-4 FAMILY-CAVG5","CDI","RC-C","",""
"LNRERF22","RE 1-4 FAM-JUNIOR LIEN-CAVG2","CDI","RC-C","",""
"LNRERF25","RE 1-4 FAM-JUNIOR LIEN-CAVG5","CDI","RC-C","",""
