"RIS Name","Description","Database","Report","FRB Number","Call Names"
"CRCRCDQ","CREDIT CARD LN RECOVERIES-QTR","CDI","RI-B","",""
"CRDEPNUQ","FOREIGN DEP INST LN CHG-OFF-QTR","CDI","RI-B","",""
"CRDEPQ","DEPOSITORY INST LOAN RECOVER-QTR","CDI","RI-B","",""
"CRFORGVQ","FOREIGN GOV LN RECOVERIES-QTR","CDI","RI-B","",""
"CRLNLSEQ","EXPECT REC AMT LNLS INCL ACL-QTR","CDI","RI-B","",""
"CRLNLSQ","LN&LS RECOVERIES-QTR","CDI","RI-B","",""
"CRLSCONQ","CONSUMER LEASE RECOVERIES - QTR","CDI","RI-B","",""
"CRLSNUSQ","NON-U.S. LEASE RECOVERIES-QTR","CDI","RI-B","",""
"CRLSOTHQ","ALL OTHER LEASE RECOVERIES - QTR","CDI","RI-B","",""
"CRLSQ","LEASE RECOVERIES-QTR","CDI","RI-B","",""
"CROFFBS","TOTAL OFF-BAL SHEET RECOVERIES","CDI","RI-B","",""
"CROFFBSQ","OFF-BAL SHEET RECOVERIES-QTR","CDI","RI-B","",""
"CROTHQ","ALL OTHER LN RECOVERIES-QTR","CDI","RI-B","",""
"CRREAGQ","FARMLAND RE LN RECOVERIES-QTR","CDI","RI-B","",""
"CRREAOT","OTHER RE LOANS RECOVERIES","CDI","RI-B","",""
"CRREAOTQ","OTHER RE LOANS RECOVERIES-QTR","CDI","RI-B","",""
"CRRECNFQ","1-4 FAM CONST LN RECOVERY-QTR","CDI","RI-B","",""
"CRRECNOQ","OTHER CONSTRUCT LN RECOVERIES-QTR","CDI","RI-B","",""
"CRRECONQ","CONSTRUCTION RE LN RECOVER-QTR","CDI","RI-B","",""
"CRREFORA","REAL EST LN RECOVERIES-FOR-ANN","CDI","RI-B","",""
"CRREFORQ","REAL EST LOAN RECOVERIES-FOR-QTR","CDI","RI-B","",""
"CRREFQA","RE LOAN RECOVERIES FOR-QTR-ANN","CDI","RI-B","",""
"CRRELOCQ","LINE OF CREDIT RE LN RECOVER-QTR","CDI","RI-B","",""
"CRREMULQ","MULTIFAMILY RE LN RECOVERIES-QTR","CDI","RI-B","",""
"CRRENOTQ","OTHER NONFARM NONRES RECOV-QTR","CDI","RI-B","",""
