"RIS Name","Description","Database","Report","FRB Number","Call Names"
"QBPRSAVB","QBP BIF FUND SAVINGS REGION","STRU","STRU","",""
"QBPRSAVS","QBP SAVING SAIF FUND REGION","STRU","STRU","",""
"QTRNO","QUARTER NUMBER","STRU","STRU","",""
"REGAGNT","PRIMARY REGULATING AGENCY","STRU","STRU","",""
"REPDTE","REPORT DATE","STRU","STRU","",""
"RISKTERR","FDIC RISK TERRITORY","STRU","STRU","",""
"RSSDHCD","HOLDING COMPANY-DIRECT-RSSDID","STRU","FEDDB2","",""
"RSSDHCR","RSSDID-HIGH HOLDER-REGULATORY","STRU","FEDDB2","",""
"RSSDID","FEDERAL RESERVE ID NUMBER","STRU","STRU","",""
"SASSER","SASSER FLAG","STRU","STRU","",""
"SB","SAVINGS BANK FLAG","STRU","STRU","",""
"SIMS_LAT","GEOGRAPHIC LATITUDE OF MAIN OFFICE","STRU","STRU","",""
"SIMS_LONG","GEOGRAPHIC LONGITUDE OF MAIN OFFICE","STRU","STRU","",""
"SL","SAVINGS AND LOAN FLAG","STRU","STRU","",""
"SM","STATE MEMBER BANK FLAG","STRU","STRU","",""
"STALP","FIPS STATE ALPHA CODE","STRU","STRU","",""
"STALPHCD","STATE-HOLDING COMPANY-DIRECT","STRU","FRBDB2","",""
"STALPHCR","STATE-HOLDING COMPANY-REGULATORY","STRU","FRBDB2","",""
"STCHRTR","STATE CHARTER FLAG","STRU","STRU","",""
"STCNTY","STATE AND COUNTY NUMBER","STRU","STRU","",""
"STMULT","MULTI-STATE OFFICES FLAG","STRU","STRU","",""
"STNAME","STATE NAME","STRU","STRU","",""
"STNUM","FIPS STATE NUMBER","STRU","STRU","",""
"TRUST","TRUST POWERS GRANTED FLAG","STRU","STRU","",""
"TRUSTPWR","TRUST POWER GRANTED CODES","STRU","STRU","",""
"UNINUM","BANK UNIQUE NUMBER","STRU","STRU","",""
"UNIT","UNIT BANK","STRU","STRU","",""
"UPDDATE","LAST UPDATE DATE STAMP","STRU","STRU","",""
"UPDTIME","LAST UPDATE TIME STAMP","STRU","STRU","",""
"UPDUSER","LAST UPDATE USER STAMP","STRU","STRU","",""
"USA","USA LOCATED INSTITUTION","STRU","STRU","",""
"ZIP","ZIP CODE","STRU","STRU","",""
